Vout_Sampled (fin=19531.25) X,Vout_Sampled (fin=19531.25) Y,Vout_Sampled (fin=29296.88) X,Vout_Sampled (fin=29296.88) Y,Vout_Sampled (fin=68359.38) X,Vout_Sampled (fin=68359.38) Y,Vout_Sampled (fin=166015.6) X,Vout_Sampled (fin=166015.6) Y,Vout_Sampled (fin=302734.4) X,Vout_Sampled (fin=302734.4) Y,Vout_Sampled (fin=517578.1) X,Vout_Sampled (fin=517578.1) Y,Vout_Sampled (fin=771484.4) X,Vout_Sampled (fin=771484.4) Y,Vout_Sampled (fin=1064453) X,Vout_Sampled (fin=1064453) Y,Vout_Sampled (fin=1533203) X,Vout_Sampled (fin=1533203) Y,Vout_Sampled (fin=1943359) X,Vout_Sampled (fin=1943359) Y,Vout_Sampled (fin=2568359) X,Vout_Sampled (fin=2568359) Y,Vout_Sampled (fin=3232422) X,Vout_Sampled (fin=3232422) Y,Vout_Sampled (fin=3916016) X,Vout_Sampled (fin=3916016) Y,Vout_Sampled (fin=4677734) X,Vout_Sampled (fin=4677734) Y,Vout_Sampled (fin=4970703) X,Vout_Sampled (fin=4970703) Y
4.025e-06,1.316551753424978,4.025e-06,1.494288161837704,4.025e-06,1.788173139841147,4.025e-06,0.1600305901098102,4.025e-06,1.740657371044753,4.025e-06,1.132326435269554,4.025e-06,1.141189821079633,4.025e-06,1.749711264985235,4.025e-06,1.167627495186325,4.025e-06,0.1257849776647047,4.025e-06,1.559740166473807,4.025e-06,0.005048433425813298,4.025e-06,1.185902651868117,4.025e-06,1.159659121628724,4.025e-06,0.3343194744740088
4.124999999999999e-06,1.326241281314188,4.124999999999999e-06,1.506505418586355,4.124999999999999e-06,1.782616472019333,4.124999999999999e-06,0.1116316204811003,4.124999999999999e-06,1.783561078472853,4.124999999999999e-06,1.396296577669328,4.124999999999999e-06,1.515014435653217,4.124999999999999e-06,1.740945046055847,4.124999999999999e-06,1.754000895867095,4.124999999999999e-06,0.2128995512439223,4.124999999999999e-06,1.47597296114048,4.124999999999999e-06,1.305434750912581,4.124999999999999e-06,0.1440045185245181,4.124999999999999e-06,0.4736088525947747,4.124999999999999e-06,1.452981289490715
4.224999999999999e-06,1.335866615373464,4.224999999999999e-06,1.518517172730258,4.224999999999999e-06,1.775431776541039,4.224999999999999e-06,0.07180295000127197,4.224999999999999e-06,1.794592676294413,4.224999999999999e-06,1.608243428264592,4.224999999999999e-06,1.747144976722292,4.224999999999999e-06,1.369820490674799,4.224999999999999e-06,1.607327850407673,4.224999999999999e-06,1.20331360203135,4.224999999999999e-06,0.190796544616529,4.224999999999999e-06,1.434969008135298,4.224999999999999e-06,1.788935604277085,4.224999999999999e-06,1.476129621508805,4.224999999999999e-06,0.3602378815154108
4.324999999999999e-06,1.345427008801991,4.324999999999999e-06,1.530319351672762,4.324999999999999e-06,1.766632257287286,4.324999999999999e-06,0.04097754714422252,4.324999999999999e-06,1.77335395913745,4.324999999999999e-06,1.745948310711902,4.324999999999999e-06,1.784096993102541,4.324999999999999e-06,0.7962369661098521,4.324999999999999e-06,0.8534291533182899,4.324999999999999e-06,1.794990309151508,4.324999999999999e-06,0.3850577340928901,4.324999999999999e-06,0.01951387571508148,4.324999999999999e-06,0.2748408060061109,4.324999999999999e-06,0.1980704516406258,4.324999999999999e-06,1.42670190888355
4.424999999999999e-06,1.354919650388016,4.424999999999999e-06,1.541907780235195,4.424999999999999e-06,1.756234231092111,4.424999999999999e-06,0.01949052964760826,4.424999999999999e-06,1.720611131545217,4.424999999999999e-06,1.794974642987874,4.424999999999999e-06,1.61734723989249,4.424999999999999e-06,0.2673683200926046,4.424999999999999e-06,0.1395005967133532,4.424999999999999e-06,1.21010718699942,4.424999999999999e-06,1.653417114111559,4.424999999999999e-06,1.147270073480628,4.424999999999999e-06,0.9825659232571641,4.424999999999999e-06,1.699341279544117,4.424999999999999e-06,0.3869025288112012
4.525e-06,1.364343780649675,4.525e-06,1.55327907536526,4.525e-06,1.744256841108688,4.525e-06,0.007575381344197179,4.525e-06,1.63826651388324,4.525e-06,1.750184631921981,4.525e-06,1.28530970761416,4.525e-06,0.01111176073659268,4.525e-06,0.07847271289112086,4.525e-06,0.217485319149863,4.525e-06,1.350375625457315,4.525e-06,1.560979184877931,4.525e-06,1.397196198808209,4.525e-06,0.03607693757432866,4.525e-06,1.399715600745637
4.625e-06,1.373697979712607,4.625e-06,1.564428826650567,4.625e-06,1.730722176847895,4.625e-06,0.005361695463673567,4.625e-06,1.529290373917682,4.625e-06,1.616268622159612,4.625e-06,0.8644869268900258,4.625e-06,0.1378748501515069,4.625e-06,0.7226670562052243,4.625e-06,0.1222364783799616,4.625e-06,0.1078945332844004,4.625e-06,0.06574845063066115,4.625e-06,0.04523415622567153,4.625e-06,1.793286758679068,4.625e-06,0.4142265267457411
4.725e-06,1.382980838755419,4.725e-06,1.575353442714359,4.725e-06,1.715655203774981,4.725e-06,0.01287235227592505,4.725e-06,1.397612704216519,4.725e-06,1.407264233253157,4.725e-06,0.4518478016942266,4.725e-06,0.5930186369753265,4.725e-06,1.519065014463477,4.725e-06,1.04949579833452,4.725e-06,0.5177907059566503,4.725e-06,0.980196988643636,4.725e-06,1.731078116006255,4.725e-06,0.01386350897549108,4.725e-06,1.372058719976261
4.825e-06,1.392190959742772,4.825e-06,1.586049239791151,4.825e-06,1.699083725426083,4.825e-06,0.03002952919852528,4.825e-06,1.24798650958088,4.825e-06,1.145081481784702,4.825e-06,0.1424721930806527,4.825e-06,1.180424836107879,4.825e-06,1.784083675892068,4.825e-06,1.780209366769462,4.825e-06,1.724906091337822,4.825e-06,1.663149062789066,4.825e-06,0.463547323293872,4.825e-06,1.742782136083008,4.825e-06,0.442240154228047
4.924999999999999e-06,1.401326955658498,4.924999999999999e-06,1.596512548103014,4.924999999999999e-06,1.681038303378157,4.924999999999999e-06,0.05664188995807605,4.924999999999999e-06,1.085806050305117,4.924999999999999e-06,0.8572056154296925,4.924999999999999e-06,0.007642739664814825,4.924999999999999e-06,1.64700338288604,4.924999999999999e-06,1.290189935536856,4.924999999999999e-06,1.353824860421459,4.924999999999999e-06,1.211505287650199,4.924999999999999e-06,0.1420789170916595,4.924999999999999e-06,0.7472940595075199,4.924999999999999e-06,0.1350493661763018,4.924999999999999e-06,1.34374520587277
